date,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
2020-04-03,64.14730542,81.84311381,40.9215569,110.5988024,27.64970061,0,49.7694611,0,67.46526949,85.16107788,19.90778444,84.05508986,0
2020-04-04,79.29724515,134.9740343,111.3535783,124.8509817,136.6612097,0,168.7175429,0,113.0407537,0,25.30763143,91.10747315,0
2020-04-05,120.1296296,120.1296296,65.52525253,32.76262626,87.36700337,0,163.8131313,1092.087542,98.28787879,0,21.84175084,76.44612795,0
2020-04-06,85.68317744,123.6085183,61.80425914,140.4642253,108.1574535,0,82.87389293,0,92.7063887,0,22.47427605,137.6549408,0
2020-04-07,82.6118777,84.17059237,127.8146032,155.8714673,76.377019,0,35.85043749,0,59.23115759,76.377019,18.70457608,90.40545106,0
2020-04-08,85.92673993,58.84113712,84.99275362,39.22742475,29.88756171,0,93.39863036,0,58.84113712,0,24.28364389,74.71890428,0
2020-04-09,87.14969139,56.64729941,61.00478398,79.30621917,61.87628089,0,27.01640433,0,56.64729941,0,19.17293211,37.4743673,0
2020-04-10,55.12971706,40.9535041,67.73079525,74.03133434,157.5134773,0,119.7102428,0,50.40431274,75.60646911,20.47675205,86.63241252,0
2020-04-11,46.68023256,49.50933756,60.82575758,69.31307259,141.4552502,0,94.77501762,0,59.41120507,103.2623326,15.56007752,59.41120507,0
2020-04-12,76.8192346,37.71126062,139.6713356,0,0,0,107.5469284,0,71.23238118,0,6.983566782,120.1173486,0
2020-04-13,37.26755401,31.94361772,17.03659612,67.08159722,106.4787257,0,80.92383157,0,28.74925595,0,5.323936287,34.07319224,0
2020-04-14,64.44293924,42.47375541,51.26142894,64.44293924,95.19979661,0,68.83677601,0,58.58449022,146.4612256,10.25228579,42.47375541,0
2020-04-15,47.12341155,60.21324809,44.50544424,55.84996925,87.26557695,0,36.65154232,0,67.19449425,0,8.726557695,54.10465771,0
2020-04-16,36.37075302,36.84310046,47.23474418,35.89840558,27.39615163,0,35.42605814,0,33.06432093,0,13.69807581,35.42605814,0
2020-04-17,37.66189651,52.24069516,51.02579527,57.10029471,121.4899887,0,37.66189651,0,38.8767964,86.25789201,15.79369854,12.14899887,0
2020-04-18,99.06550307,81.20123203,16.24024641,30.85646817,133.1700205,0,162.4024641,0,50.34476386,0,34.10451745,38.97659137,0
2020-04-19,48.11152407,41.63497275,92.52216167,61.98984832,57.36374023,0,24.98098365,0,41.63497275,0,19.42965395,37.93408628,0
2020-04-20,35.66666667,35.66666667,35.66666667,35.66666667,107,0,89.16666667,1783.333333,53.5,0,17.83333333,35.66666667,0
2020-04-21,30.05555556,30.05555556,15.02777778,45.08333333,60.11111111,420.7777778,60.11111111,1502.777778,45.08333333,0,15.02777778,15.02777778,0
2020-04-22,37.64194577,41.40614035,71.51969697,41.40614035,33.8777512,0,15.05677831,0,37.64194577,0,22.58516746,15.05677831,376.4194577
2020-04-23,46.79291831,50.23357407,39.91160679,68.81311516,34.40655758,0,64.68432825,0,49.54544291,0,25.46085261,30.96590182,0
2020-04-24,56.32639863,47.21477532,57.15472802,26.50654053,82.83293915,0,51.35642228,0,45.55811654,0,27.33486992,35.61816384,0
2020-04-25,39.46327406,49.95351146,31.97024734,21.48000993,30.97117711,0,43.95909009,0,46.45676566,0,12.98791298,28.47350153,0
2020-04-26,45.79564629,54.95477555,23.40666366,0,35.61883601,0,15.26521543,0,34.60115498,101.7681029,24.42434469,29.51274983,0
2020-04-27,39.87840453,29.00247602,29.00247602,17.52232926,0,0,60.42182504,0,33.83622202,0,18.73076576,47.12902353,0
2020-04-28,27.73857833,41.16047107,0,75.16259935,86.79490639,0,89.47928494,0,32.21254258,0,17.89585699,25.05419978,0
2020-04-29,34.7859697,47.64165416,58.98490514,67.3032892,0,0,75.62167326,0,52.93517128,0,25.71136891,14.36811792,0
2020-04-30,35.03333333,58.38888889,58.38888889,198.5222222,140.1333333,0,105.1,1167.777778,58.38888889,0,35.03333333,58.38888889,0
2020-05-01,70.69578217,47.55898073,52.70049216,128.5377858,115.6840072,0,21.85142358,0,73.26653788,0,19.28066786,21.85142358,0
2020-05-02,46.625,74.6,37.3,102.575,121.225,867.225,0,932.5,46.625,0,9.325,74.6,0
2020-05-03,40.56084893,36.7877467,36.7877467,36.7877467,0,0,49.05032893,0,69.80239117,0,19.80878668,94.32755564,0
2020-05-04,48.55380592,44.50765542,80.92300986,74.44916907,38.84304473,0,67.97532828,0,51.79072631,0,17.80306217,50.98149621,0
2020-05-05,19.01196561,53.12166862,0,55.91754592,27.3995975,0,24.6037202,0,36.90558031,0,22.92619383,12.86103556,0
2020-05-06,21.65739675,27.8452244,81.47306397,0,0,0,44.34609811,0,49.50262115,103.1304607,24.75131057,45.37740272,0
2020-05-07,39.92235089,60.48841043,50.20538066,18.75140723,29.63932111,0,36.29304626,0,27.8246688,0,20.56605955,51.41514887,0
2020-05-08,50.38914729,33.59276486,83.98191214,68.23530362,34.64253876,0,79.78281654,0,45.14027778,104.9773902,20.99547804,15.74660853,0
2020-05-09,49.29469697,32.86313131,49.29469697,43.81750842,109.543771,0,0,0,54.77188552,0,21.90875421,60.24907407,547.7188552
2020-05-10,29.77237485,32.90630904,12.53573678,156.6967097,34.47327614,0,29.77237485,0,43.87507872,0,20.37057226,47.00901292,0
2020-05-11,36.45738956,17.06516107,77.56891396,50.41979407,0,0,0,0,50.41979407,0,23.27067419,31.80325472,0
2020-05-12,13.59620515,20.39430772,25.68172084,15.86223934,0,0,32.47982341,0,37.01189179,75.53447305,21.14965245,31.72447868,0
2020-05-13,39.66666667,49.58333333,9.916666667,79.33333333,79.33333333,991.6666667,49.58333333,0,49.58333333,0,39.66666667,19.83333333,0
2020-05-14,77.67626716,64.88252904,91.38384372,0,51.17495248,0,70.36555966,0,71.2793981,0,17.36293031,70.36555966,0
2020-05-15,43.7884656,36.17308028,10.78846254,20.94230964,63.46154435,0,13.96153976,0,57.11538992,0,26.01923319,13.96153976,0
2020-05-16,26.49623976,46.63338197,45.57353238,105.984959,42.39398361,0,0,0,44.51368279,0,36.03488607,18.01744304,0
2020-05-17,33.33921597,67.75389052,107.545858,92.48943785,73.13118342,0,0,0,80.65939347,0,11.83004438,30.11284023,0
2020-05-18,27.52201836,31.0248207,27.52201836,26.02081736,36.52922437,0,17.01361135,0,50.04003339,0,17.51401169,33.52682237,0
2020-05-19,37.04503896,63.87075683,26.82571787,0,0,0,34.49020869,0,55.56755844,0,14.0515665,0,0
2020-05-20,33.42156863,63.12962963,22.28104575,89.12418301,33.42156863,371.3507625,59.416122,0,55.70261438,0,22.28104575,40.84858388,0
2020-05-21,61.06108069,99.78274161,62.55037534,123.611456,92.33626836,0,107.2292149,0,98.29344696,148.9294651,11.91435721,37.23236627,0
2020-05-22,69.26385791,103.2661154,59.18911495,0,123.4156014,0,60.44845782,0,62.96714356,125.9342871,21.40882881,52.89240059,0
2020-05-23,61.97375477,58.25532949,26.028977,0,34.70530267,0,32.22635248,0,54.5369042,0,22.31055172,61.35401722,0
2020-05-24,72.55672852,83.39853853,43.36724004,44.20122542,67.55281621,0,56.7110062,0,74.22469929,0,7.505868468,28.3555031,0
2020-05-25,31.98894129,25.27126362,30.70938364,29.7497154,24.31159538,0,10.23646121,0,27.19060009,0,11.51601886,9.596682386,0
2020-05-26,33.71872022,61.99893719,40.24492414,101.1561607,108.7700652,0,0,0,45.6834274,0,9.789305871,32.63101957,0
2020-05-27,33.81282051,31.39761905,38.03942308,17.51021062,0,0,60.38003663,0,27.17101648,0,9.057005495,45.28502747,0
2020-05-28,21.92965368,51.16919192,43.85930736,60.30654762,182.747114,0,14.61976912,0,32.89448052,0,12.79229798,40.20436508,0
2020-05-29,16.27640994,33.85493268,10.41690236,20.83380473,33.85493268,0,13.67218435,0,27.9954251,0,12.37007156,65.10563977,0
2020-05-30,30.90583629,36.28076434,21.05180153,0,27.77046159,0,44.79106708,0,22.39553354,0,14.33314147,12.09358811,0
2020-05-31,30,22.5,15,82.5,0,0,60,0,45,0,22.5,22.5,750
2020-06-01,23.40551169,29.25688962,15.2135826,56.17322806,0,0,58.51377923,0,38.0339565,0,6.436515715,18.13927156,0
2020-06-02,62.48924149,55.22305062,0,145.3238174,0,0,30.51800166,0,49.41009792,0,7.26619087,0,0
2020-06-03,37.31216931,52.23703704,37.31216931,0,0,0,74.62433862,0,37.31216931,0,7.462433862,67.16190476,746.2433862
2020-06-04,28.64004802,50.24569828,24.62039216,46.7284994,33.66461785,0,33.16216086,0,34.16707483,0,9.546682673,0,0
2020-06-05,27.61824561,30.12899522,22.59674641,125.5374801,0,0,13.80912281,0,23.85212121,0,6.276874003,0,0
2020-06-06,18.89056238,27.28636788,0,209.8951375,37.78112476,0,0,0,29.38531926,199.4003807,14.69265963,71.36434676,0
2020-06-07,26.49152721,26.05723988,12.16004528,21.71436657,0,0,43.42873314,0,29.0972512,0,9.55432129,13.8971946,0
2020-06-08,25.61344828,30.49220033,12.19688013,25.00360427,34.15126437,0,50.00720854,0,35.37095238,0,6.098440066,60.98440066,0
2020-06-09,40.49141501,30.1090009,23.87955244,0,103.824141,0,0,0,36.33844937,0,5.191207052,60.2180018,0
2020-06-10,26.38515942,31.93992982,17.35865751,0,0,0,69.43463005,0,48.60424104,0,10.41519451,0,0
2020-06-11,22.59704185,13.55822511,22.59704185,22.59704185,0,451.9408369,31.63585859,0,49.71349206,0,9.038816739,31.63585859,0
2020-06-12,32.44,23.17142857,32.44,78.78285714,0,463.4285714,55.61142857,0,46.34285714,0,9.268571429,0,0
2020-06-13,33.95200321,24.07505682,39.50778555,46.91549534,0,0,61.73091492,0,40.74240385,0,9.259637238,0,0
2020-06-14,18.88957829,52.13523607,65.73573244,58.17990113,0,0,75.55831315,0,49.11290355,0,9.82258071,0,0
2020-06-15,26.07250547,40.7382898,11.81410404,0,0,0,31.36848315,0,24.03559098,0,14.66578433,13.85101853,0
2020-06-16,32.89140164,43.07207358,0,78.31286105,0,0,0,0,36.02391608,0,10.18067194,15.66257221,0
2020-06-17,18.31292654,15.93902865,0,33.91282692,24.75636365,0,0,0,17.97379827,0,0,19.66943961,0
2020-06-18,50.53323485,43.884125,132.982197,0,0,0,0,0,85.10860606,0,5.319287879,0,0
2020-06-19,32.89921346,57.57362356,64.88455988,0,91.38670406,0,21.93280898,0,30.15761234,0,5.483202244,38.38241571,0
2020-06-20,16.56372709,40.22619435,47.32493453,0,0,0,0,0,17.51022578,0,8.045238871,39.27969566,0
2020-06-21,30.18218584,29.29447449,0,28.40676314,44.38556741,0,18.64193831,0,34.62074258,0,15.97880427,18.19808264,0
